"ServiceName","Category","Namespace","Registration","Global","Austria East","Belgium Central","Denmark East","France Central","France South","Germany North","Germany West Central","Italy North","North Europe","Norway East","Norway West","Poland Central","Spain Central","Sweden Central","Switzerland North","Switzerland West","West Europe"
"Azure API Center","Integration","Microsoft.ApiCenter","NotRegistered","False","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","yes"
"Azure API Management","Integration","Microsoft.ApiManagement","Registered","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"Azure Communication Services","Integration","Microsoft.Communication","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Azure Durable Task","Integration","Microsoft.DurableTask","NotRegistered","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","no","yes","yes","no","no"
"Azure Event Grid","Integration","Microsoft.EventGrid","Registered","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Azure Event Hubs","Integration","Microsoft.EventHub","Registered","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Azure Integration Environments","Integration","Microsoft.IntegrationSpaces","NotRegistered","False","no","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes","yes","yes","yes"
"Azure Logic Apps","Integration","Microsoft.Logic","Registered","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Azure Notification Hubs","Integration","Microsoft.NotificationHubs","Registered","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","no","yes","yes","yes","yes"
"Azure Relay","Integration","Microsoft.Relay","Registered","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"Azure Service Bus","Integration","Microsoft.ServiceBus","Registered","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Dynamics 365 Customer Insights","Integration","Microsoft.D365CustomerInsights","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Messaging Catalog","Integration","Microsoft.MessagingCatalog","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Messaging Connectors","Integration","Microsoft.MessagingConnectors","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Power Platform","Integration","Microsoft.PowerPlatform","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Power Platform Monitoring Hub","Integration","MICROSOFT.POWERPLATFORMMONITORINGHUB","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Windows Push Notification Services","Integration","Microsoft.WindowsPushNotificationServices","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Device Registry","IoT","Microsoft.DeviceRegistry","NotRegistered","False","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes"
"Azure Digital Twins","IoT","Microsoft.DigitalTwins","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Azure Edge","IoT","Microsoft.Edge","NotRegistered","False","no","no","no","yes","no","no","yes","no","yes","yes","no","yes","no","yes","yes","no","yes"
"Azure IoT Central","IoT","Microsoft.IoTCentral","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Azure IoT Hub","IoT","Microsoft.Devices","Registered","False","no","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","no","yes","yes","yes"
"Azure IoT Operations","IoT","Microsoft.IoTOperations","NotRegistered","False","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes"
"Azure Sphere","IoT","Microsoft.AzureSphere","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Connected Vehicle Platform","IoT","Microsoft.ConnectedVehicle","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Defender for IoT","IoT","Microsoft.IoTSecurity","NotRegistered","False","no","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Defender for IoT Firmware Analysis","IoT","Microsoft.IoTFirmwareDefense","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Device Onboarding","IoT","Microsoft.DeviceOnboarding","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Device Update for IoT Hub","IoT","Microsoft.DeviceUpdate","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","yes"
"IoT Operations Data Processor","IoT","Microsoft.IoTOperationsDataProcessor","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Azure Advisor","Management","Microsoft.Advisor","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Approvals","Management","Microsoft.Approvals","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Automanage","Management","Microsoft.Automanage","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Azure Automation","Management","Microsoft.Automation","Registered","False","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Azure Billing","Management","Microsoft.Billing","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Billing Trust","Management","Microsoft.BillingTrust","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Blueprints","Management","Microsoft.Blueprint","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Commerce","Management","Microsoft.Commerce","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Consumption","Management","Microsoft.Consumption","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Context Cache","Management","Microsoft.AzureContextCache","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no"
"Azure Feature Registrations","Management","Microsoft.Features","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Help + Support","Management","Microsoft.Help","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Hybrid Benefit / Software Plans","Management","Microsoft.SoftwarePlan","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Impact Reporting","Management","Microsoft.Impact","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Lighthouse","Management","Microsoft.ManagedServices","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Maintenance","Management","Microsoft.Maintenance","Registered","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Azure Managed Applications","Management","Microsoft.Solutions","NotRegistered","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"Azure Management Groups","Management","Microsoft.Management","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Policy Guest Configuration","Management","Microsoft.GuestConfiguration","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Policy Insights","Management","Microsoft.PolicyInsights","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Portal Dashboards","Management","Microsoft.Portal","Registered","False","no","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes"
"Azure Portal Services","Management","Microsoft.PortalServices","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Azure Quota","Management","Microsoft.Quota","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Reserved Capacity","Management","Microsoft.Capacity","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Resilience Management","Management","Microsoft.AzureResilienceManagement","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Resource Graph","Management","Microsoft.ResourceGraph","Registered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Resource Health","Management","Microsoft.ResourceHealth","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Resource Manager (ARM)","Management","Microsoft.Resources","Registered","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"Azure Resource Notifications","Management","Microsoft.ResourceNotifications","Registered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Azure Savings Plans","Management","Microsoft.BillingBenefits","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Azure Sovereign","Management","Microsoft.Sovereign","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no"
"Azure Subscriptions","Management","Microsoft.Subscription","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Support","Management","microsoft.support","Registered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Azure Support Add-ons","Management","Microsoft.Addons","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Azure Update Manager","Management","Microsoft.UpdateManager","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Change Safety","Management","Microsoft.ChangeSafety","Registered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no"
"Cloud Device Platform","Management","Microsoft.CloudDevicePlatform","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Cloud Health","Management","Microsoft.CloudHealth","NotRegistered","False","no","no","no","no","no","no","yes","yes","yes","yes","no","no","no","yes","yes","no","no"
"Cost Management Exports","Management","Microsoft.CostManagementExports","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Custom Providers","Management","Microsoft.CustomProviders","Registered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Discovery Service","Management","Microsoft.Discovery","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no"
"Enterprise Support","Management","Microsoft.EnterpriseSupport","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Falcon (internal)","Management","Microsoft.Falcon","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no"
"Managed Ops","Management","Microsoft.ManagedOps","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft Cost Management","Management","Microsoft.CostManagement","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft Sustainability Manager","Management","Microsoft.Carbon","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Mission (internal)","Management","Microsoft.Mission","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Partner Enrollment","Management","Microsoft.PartnerEnrollment","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Partner Managed Consumer Recurrence","Management","Microsoft.PartnerManagedConsumerRecurrence","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Premonition","Management","Microsoft.Premonition","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Professional Services","Management","Microsoft.ProfessionalService","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Program Enrollment","Management","Microsoft.ProgramEnrollment","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Provider Hub","Management","Microsoft.ProviderHub","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Resource Builder","Management","Microsoft.ResourceBuilder","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Resource Intelligence","Management","Microsoft.ResourceIntelligence","Registered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Resource Relationships","Management","Microsoft.Relationships","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Services Hub","Management","Microsoft.ServicesHub","NotRegistered","False","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Sustainability Services","Management","Microsoft.SustainabilityServices","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Usage Billing","Management","Microsoft.UsageBilling","NotRegistered","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Validate","Management","Microsoft.Validate","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Workload Builder","Management","Microsoft.WorkloadBuilder","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Liftr Sample RP","Management (3rd party)","Liftrbasic.Samplerp","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Marketplace","Marketplace","Microsoft.Marketplace","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Marketplace Ordering","Marketplace","Microsoft.MarketplaceOrdering","Registered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure SaaS","Marketplace","Microsoft.SaaS","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Edge Marketplace","Marketplace","Microsoft.EdgeMarketplace","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"SaaS Hub","Marketplace","Microsoft.SaaSHub","NotRegistered","False","yes","no","yes","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Napster Companion","Media (3rd party)","Napster.CompanionAPI","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Application Migration","Migration","Microsoft.ApplicationMigration","NotRegistered","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"Azure App Assessment","Migration","Microsoft.AppAssessment","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Database Migration Service","Migration","Microsoft.DataMigration","Registered","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Azure Migrate","Migration","Microsoft.Migrate","NotRegistered","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"Azure Migrate - Off-Azure discovery","Migration","Microsoft.OffAzure","NotRegistered","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"Migrate Spring Boot to Azure","Migration","Microsoft.OffAzureSpringBoot","NotRegistered","False","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Azure Diagnostics","Monitor","Microsoft.Diagnostics","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Managed Grafana","Monitor","Microsoft.Dashboard","NotRegistered","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","no","yes","yes","yes","no","yes"
"Azure Monitor / Application Insights","Monitor","microsoft.insights","Registered","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Azure Monitor Alerts","Monitor","Microsoft.AlertsManagement","NotRegistered","False","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Azure Monitor SCOM Managed Instance","Monitor","Microsoft.Scom","NotRegistered","False","no","no","no","no","no","no","yes","yes","yes","no","no","no","no","yes","no","no","yes"
"Azure Monitor Workspace (Prometheus)","Monitor","Microsoft.Monitor","NotRegistered","False","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Datadog on Azure","Monitor","Microsoft.Datadog","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Elastic on Azure","Monitor","Microsoft.Elastic","NotRegistered","False","no","no","no","yes","no","no","yes","no","yes","no","no","no","yes","no","no","no","yes"
"Health Model","Monitor","Microsoft.HealthModel","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Log Analytics","Monitor","Microsoft.OperationalInsights","Registered","False","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Operations Management Suite","Monitor","Microsoft.OperationsManagement","Registered","False","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Service Map / Dependency","Monitor","Microsoft.DependencyMap","NotRegistered","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Dynatrace on Azure","Monitor (3rd party)","Dynatrace.Observability","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes"
"New Relic on Azure","Monitor (3rd party)","NewRelic.Observability","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure CDN / Front Door","Networking","Microsoft.Cdn","Registered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Azure Edge Zones","Networking","Microsoft.EdgeZones","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Managed Network Fabric","Networking","Microsoft.ManagedNetworkFabric","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no"
"Azure Network Function Manager","Networking","Microsoft.NetworkFunction","NotRegistered","False","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","yes"
"Azure Networking (VNet/LB/Firewall/etc)","Networking","Microsoft.Network","Registered","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Azure Operator Nexus","Networking","Microsoft.HybridNetwork","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Azure Operator Nexus - Network Cloud","Networking","Microsoft.NetworkCloud","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Orbital Ground Station","Networking","Microsoft.Orbital","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Azure Peering Service","Networking","Microsoft.Peering","NotRegistered","False","no","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Azure Service Networking (App Gw for Containers)","Networking","Microsoft.ServiceNetworking","NotRegistered","False","no","no","no","yes","no","no","yes","no","yes","yes","no","no","no","yes","yes","no","yes"
"Connected Cache","Networking","Microsoft.ConnectedCache","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no"
"Operator Nexus Identity","Networking","Microsoft.NexusIdentity","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no"
"Operator Voicemail","Networking","Microsoft.OperatorVoicemail","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"NGINX Plus on Azure","Networking (3rd party)","NGINX.NGINXPLUS","NotRegistered","False","no","no","no","no","no","no","yes","no","yes","no","no","no","no","yes","no","no","yes"
"App Compliance Automation","Security","Microsoft.AppComplianceAutomation","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Attestation","Security","Microsoft.Attestation","NotRegistered","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Azure Cloud PKI","Security","Microsoft.Pki","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Confidential Clean Room","Security","Microsoft.CleanRoom","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Confidential Ledger","Security","Microsoft.ConfidentialLedger","NotRegistered","False","no","no","no","no","no","no","yes","yes","no","no","no","no","no","yes","no","no","yes"
"Azure Dedicated HSM / Managed HSM","Security","Microsoft.HardwareSecurityModules","NotRegistered","False","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","no","no","yes","yes","yes","yes"
"Azure Key Vault","Security","Microsoft.KeyVault","Registered","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Azure Scan (Defender)","Security","Microsoft.AzureScan","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Customer Lockbox","Security","Microsoft.CustomerLockbox","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Defender External Attack Surface Management","Security","Microsoft.Easm","NotRegistered","False","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","yes","yes","no","yes"
