"ServiceName","Category","Namespace","Registration","Global","Australia Central","Australia Central 2","Australia East","Australia Southeast","Central India","East Asia","East Asia (Stage)","Indonesia Central","Japan East","Japan West","Jio India Central","Jio India West","Korea Central","Korea South","Malaysia West","New Zealand North","South India","Southeast Asia","Southeast Asia (Stage)","West India"
"Microsoft Purview","Analytics","Microsoft.Purview","NotRegistered","False","no","no","yes","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Power BI Dedicated","Analytics","Microsoft.PowerBIDedicated","Registered","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Power BI Embedded","Analytics","Microsoft.PowerBI","NotRegistered","False","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","yes"
"Astronomer Astro (Airflow)","Analytics (3rd party)","Astronomer.Astro","NotRegistered","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Informatica IDMC on Azure","Analytics (3rd party)","Informatica.DataManagement","NotRegistered","False","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Azure Backup","Backup / DR","Microsoft.DataProtection","Registered","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Business Continuity Center","Backup / DR","Microsoft.AzureBusinessContinuity","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Recovery Services (Backup/ASR)","Backup / DR","Microsoft.RecoveryServices","Registered","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Site Recovery","Backup / DR","Microsoft.DataReplication","NotRegistered","False","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Backup Solutions","Backup / DR","Microsoft.BackupSolutions","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Commvault Cloud","Backup / DR (3rd party)","Commvault.ContentStore","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Blockchain Tokens","Blockchain","Microsoft.BlockchainTokens","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure BareMetal","Compute","Microsoft.BareMetal","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Batch","Compute","Microsoft.Batch","NotRegistered","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Compute Fleet","Compute","Microsoft.AzureFleet","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Hardware","Compute","Microsoft.Hardware","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Image Testing for Linux","Compute","Microsoft.AzureImageTestingForLinux","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Large Instances","Compute","Microsoft.AzureLargeInstance","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Serial Console","Compute","Microsoft.SerialConsole","Registered","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Service Fabric","Compute","Microsoft.ServiceFabric","Registered","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Standby VM Pool","Compute","Microsoft.StandbyPool","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Virtual Desktop","Compute","Microsoft.DesktopVirtualization","Registered","False","no","no","yes","no","yes","yes","no","no","yes","yes","no","no","yes","no","no","no","no","yes","no","no"
"Azure Virtual Machines","Compute","Microsoft.Compute","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure VM Image Builder","Compute","Microsoft.VirtualMachineImages","NotRegistered","False","no","no","yes","yes","yes","yes","no","yes","yes","no","no","no","yes","no","yes","yes","no","yes","no","no"
"Azure VMware Solution","Compute","Microsoft.AVS","Registered","False","no","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","no","yes","yes","no","yes","no","no"
"Azure Workloads (SAP)","Compute","Microsoft.Workloads","NotRegistered","False","no","no","yes","no","yes","yes","no","no","yes","no","no","no","yes","yes","no","no","no","yes","no","no"
"BareMetal Infrastructure","Compute","Microsoft.BareMetalInfrastructure","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Compute Bulk Actions","Compute","Microsoft.ComputeBulkActions","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes","yes","yes","no","yes"
"Compute Limits","Compute","Microsoft.ComputeLimit","NotRegistered","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Compute Schedule","Compute","Microsoft.ComputeSchedule","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes","yes","yes","no","yes"
"Nutanix Cloud Clusters on Azure","Compute","Microsoft.Nutanix","NotRegistered","False","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no"
"SAP HANA on Azure Large Instances","Compute","Microsoft.HanaOnAzure","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Service Fabric Mesh","Compute","Microsoft.ServiceFabricMesh","NotRegistered","False","no","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","no","no","no","yes","yes","no","yes"
"Supercomputer Infrastructure","Compute","Microsoft.SupercomputerInfrastructure","NotRegistered","False","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"VMware (legacy)","Compute","Microsoft.VMware","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Windows 365 (development)","Compute","Microsoft.DevelopmentWindows365","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Windows 365 Cloud PC","Compute","Microsoft.Windows365","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Container Apps","Containers","Microsoft.App","NotRegistered","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","no","yes","no","yes","yes","no","no"
"Azure Container Instances","Containers","Microsoft.ContainerInstance","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Container Registry","Containers","Microsoft.ContainerRegistry","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no"
"Azure Kubernetes Service (AKS)","Containers","Microsoft.ContainerService","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no"
"Azure Red Hat OpenShift","Containers","Microsoft.RedHatOpenShift","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","no","yes","yes","yes","yes","no","no"
"Azure Spring Apps","Containers","Microsoft.AppPlatform","Registered","False","no","no","yes","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Kubernetes Configuration (Flux/GitOps)","Containers","Microsoft.KubernetesConfiguration","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Kubernetes Runtime","Containers","Microsoft.KubernetesRuntime","NotRegistered","False","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no"
"Azure Cache for Redis","Databases","Microsoft.Cache","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Cosmos DB","Databases","Microsoft.DocumentDB","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Database for MariaDB","Databases","Microsoft.DBforMariaDB","Registered","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes"
"Azure Database for MySQL","Databases","Microsoft.DBforMySQL","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Database for PostgreSQL","Databases","Microsoft.DBforPostgreSQL","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure SQL Database / Managed Instance","Databases","Microsoft.Sql","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Database Fleet Manager","Databases","Microsoft.DatabaseFleetManager","NotRegistered","False","no","no","yes","no","yes","yes","no","no","no","no","no","no","yes","yes","no","no","yes","yes","no","no"
"Database Watcher (SQL)","Databases","Microsoft.DatabaseWatcher","NotRegistered","False","yes","no","yes","yes","no","no","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","no"
"Horizon DB","Databases","Microsoft.HorizonDB","NotRegistered","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"MySQL Discovery","Databases","Microsoft.MySqlDiscovery","NotRegistered","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no"
"SQL Server on Azure VM","Databases","Microsoft.SqlVirtualMachine","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"MongoDB Atlas on Azure","Databases (3rd party)","MongoDB.Atlas","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no"
"Oracle Database at Azure","Databases (3rd party)","Oracle.Database","NotRegistered","False","no","no","yes","yes","yes","no","no","no","yes","yes","no","no","no","no","no","no","yes","yes","no","no"
"App Link","Developer Tools","Microsoft.AppLink","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Azure App Configuration","Developer Tools","Microsoft.AppConfiguration","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no"
"Azure Chaos Studio","Developer Tools","Microsoft.Chaos","NotRegistered","False","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no"
"Azure Cloud Shell","Developer Tools","Microsoft.CloudShell","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Deployment Environments","Developer Tools","Microsoft.DevHub","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes","yes","yes","no","no"
"Azure DevTest Labs","Developer Tools","Microsoft.DevTestLab","Registered","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes"
"Azure Experimentation","Developer Tools","Microsoft.Experimentation","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Fluid Relay","Developer Tools","Microsoft.FluidRelay","NotRegistered","False","no","no","yes","no","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Azure Lab Services","Developer Tools","Microsoft.LabServices","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes"
"Azure Load Testing","Developer Tools","Microsoft.LoadTestService","NotRegistered","False","yes","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","yes","no","yes","yes","no","yes"
"Azure Online Experimentation","Developer Tools","Microsoft.OnlineExperimentation","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Playwright Testing","Developer Tools","Microsoft.AzurePlaywrightService","NotRegistered","False","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Cloud Test","Developer Tools","Microsoft.CloudTest","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes"
"Microsoft Dev Box","Developer Tools","Microsoft.DevCenter","NotRegistered","False","no","no","yes","no","yes","yes","no","no","yes","yes","no","no","yes","no","no","no","no","yes","no","no"
"Service Connector","Developer Tools","Microsoft.ServiceLinker","NotRegistered","False","yes","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no"
"LambdaTest HyperExecute","Developer Tools (3rd party)","LambdaTest.HyperExecute","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure DevOps / Visual Studio","DevOps","microsoft.visualstudio","NotRegistered","False","no","no","yes","no","yes","yes","no","no","yes","yes","no","no","no","no","no","no","yes","yes","no","yes"
"Azure Terraform","DevOps","Microsoft.AzureTerraform","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Managed DevOps Pools","DevOps","Microsoft.DevOpsInfrastructure","NotRegistered","False","no","no","yes","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Toolchain Orchestrator","DevOps","Microsoft.ToolchainOrchestrator","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"GitHub Enterprise Cloud Networking","DevOps (3rd party)","GitHub.Network","NotRegistered","False","yes","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","no","no","no","yes","yes","no","no"
"AKS on Azure Local","Hybrid + Multicloud","Microsoft.HybridContainerService","NotRegistered","False","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no"
"AWS Connector for Azure Arc","Hybrid + Multicloud","Microsoft.AWSConnector","NotRegistered","False","no","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no"
"Azure Arc Hybrid Connectivity","Hybrid + Multicloud","Microsoft.HybridConnectivity","NotRegistered","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","no","yes","yes","no","no"
"Azure Arc Resource Bridge","Hybrid + Multicloud","Microsoft.ResourceConnector","NotRegistered","False","no","no","yes","yes","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no"
"Azure Arc-enabled Data Services","Hybrid + Multicloud","Microsoft.AzureArcData","NotRegistered","False","no","no","yes","no","yes","yes","no","no","yes","yes","no","no","yes","no","no","no","no","yes","no","no"
"Azure Arc-enabled Kubernetes","Hybrid + Multicloud","Microsoft.Kubernetes","NotRegistered","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","no","yes","no","yes","yes","no","no"
"Azure Arc-enabled SCVMM","Hybrid + Multicloud","Microsoft.SCVMM","NotRegistered","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Azure Arc-enabled Servers","Hybrid + Multicloud","Microsoft.HybridCompute","NotRegistered","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","no","yes","yes","no","no"
"Azure Arc-enabled VMware vSphere","Hybrid + Multicloud","Microsoft.ConnectedVMwarevSphere","NotRegistered","False","no","no","yes","no","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no"
"Azure Extended Locations","Hybrid + Multicloud","Microsoft.ExtendedLocation","NotRegistered","False","no","no","yes","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","yes","yes","no","no"
"Azure Local (Stack HCI)","Hybrid + Multicloud","Microsoft.AzureStackHCI","NotRegistered","False","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no"
"Azure Stack","Hybrid + Multicloud","Microsoft.AzureStack","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Connected OpenStack","Hybrid + Multicloud","microsoft.connectedopenstack","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"GCP Connector for Azure Arc","Hybrid + Multicloud","Microsoft.GCPConnector","NotRegistered","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Hybrid Cloud","Hybrid + Multicloud","Microsoft.HybridCloud","NotRegistered","False","yes","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes"
"Azure Active Directory Domain Services","Identity","Microsoft.AAD","NotRegistered","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure AD B2C","Identity","Microsoft.AzureActiveDirectory","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure RBAC / Authorization","Identity","Microsoft.Authorization","Registered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Connected Credentials","Identity","Microsoft.ConnectedCredentials","NotRegistered","False","no","no","yes","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Directory Store","Identity","Microsoft.DirectoryStore","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Entra Connect Health","Identity","Microsoft.ADHybridHealthService","Registered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Entra Custom Security Attributes Diagnostic Settings","Identity","Microsoft.AadCustomSecurityAttributesDiagnosticSettings","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Entra Entitlement Management","Identity","Microsoft.EntitlementManagement","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Entra ID (IAM diagnostic)","Identity","microsoft.aadiam","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Entra ID Governance","Identity","Microsoft.EntraIDGovernance","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Entra ID Governance Accelerator","Identity","Microsoft.EntraIdGovernanceAccelerator","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Managed Identities","Identity","Microsoft.ManagedIdentity","Registered","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft Entra Verified ID","Identity","Microsoft.VerifiedId","NotRegistered","False","no","no","yes","yes","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no"
"Microsoft Graph Services","Identity","Microsoft.GraphServices","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure API Center","Integration","Microsoft.ApiCenter","NotRegistered","False","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure API Management","Integration","Microsoft.ApiManagement","Registered","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Communication Services","Integration","Microsoft.Communication","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Durable Task","Integration","Microsoft.DurableTask","NotRegistered","False","yes","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no"
"Azure Event Grid","Integration","Microsoft.EventGrid","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Event Hubs","Integration","Microsoft.EventHub","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Integration Environments","Integration","Microsoft.IntegrationSpaces","NotRegistered","False","no","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","no","no","yes"
"Azure Logic Apps","Integration","Microsoft.Logic","Registered","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Notification Hubs","Integration","Microsoft.NotificationHubs","Registered","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","no","no","no","yes","yes","no","yes"
"Azure Relay","Integration","Microsoft.Relay","Registered","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Service Bus","Integration","Microsoft.ServiceBus","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Dynamics 365 Customer Insights","Integration","Microsoft.D365CustomerInsights","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Messaging Catalog","Integration","Microsoft.MessagingCatalog","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Messaging Connectors","Integration","Microsoft.MessagingConnectors","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Power Platform","Integration","Microsoft.PowerPlatform","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Power Platform Monitoring Hub","Integration","MICROSOFT.POWERPLATFORMMONITORINGHUB","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Windows Push Notification Services","Integration","Microsoft.WindowsPushNotificationServices","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Device Registry","IoT","Microsoft.DeviceRegistry","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Digital Twins","IoT","Microsoft.DigitalTwins","NotRegistered","False","no","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Azure Edge","IoT","Microsoft.Edge","NotRegistered","False","no","no","yes","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Azure IoT Central","IoT","Microsoft.IoTCentral","NotRegistered","False","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no"
"Azure IoT Hub","IoT","Microsoft.Devices","Registered","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no"
"Azure IoT Operations","IoT","Microsoft.IoTOperations","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Sphere","IoT","Microsoft.AzureSphere","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Connected Vehicle Platform","IoT","Microsoft.ConnectedVehicle","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Defender for IoT","IoT","Microsoft.IoTSecurity","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes"
"Defender for IoT Firmware Analysis","IoT","Microsoft.IoTFirmwareDefense","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Device Onboarding","IoT","Microsoft.DeviceOnboarding","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Device Update for IoT Hub","IoT","Microsoft.DeviceUpdate","NotRegistered","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"IoT Operations Data Processor","IoT","Microsoft.IoTOperationsDataProcessor","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Azure Advisor","Management","Microsoft.Advisor","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Approvals","Management","Microsoft.Approvals","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Automanage","Management","Microsoft.Automanage","NotRegistered","False","no","no","yes","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no"
"Azure Automation","Management","Microsoft.Automation","Registered","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no"
"Azure Billing","Management","Microsoft.Billing","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Billing Trust","Management","Microsoft.BillingTrust","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Blueprints","Management","Microsoft.Blueprint","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Commerce","Management","Microsoft.Commerce","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Consumption","Management","Microsoft.Consumption","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Context Cache","Management","Microsoft.AzureContextCache","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Feature Registrations","Management","Microsoft.Features","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Help + Support","Management","Microsoft.Help","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Hybrid Benefit / Software Plans","Management","Microsoft.SoftwarePlan","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Impact Reporting","Management","Microsoft.Impact","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Lighthouse","Management","Microsoft.ManagedServices","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Maintenance","Management","Microsoft.Maintenance","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Managed Applications","Management","Microsoft.Solutions","NotRegistered","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Management Groups","Management","Microsoft.Management","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Policy Guest Configuration","Management","Microsoft.GuestConfiguration","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Policy Insights","Management","Microsoft.PolicyInsights","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Portal Dashboards","Management","Microsoft.Portal","Registered","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes"
